division_id,district_id,upazila,postOffice,postCode
1,34,Amtali,Amtali,8710
1,34,Bamna,Bamna,8730
1,34,Barguna Sadar,Barguna Sadar,8700
1,34,Barguna Sadar,Nali Bandar,8701
1,34,Betagi,Betagi,8740
1,34,Betagi,Darul Ulam,8741
1,34,Patharghata,Kakchira,8721
1,34,Patharghata,Patharghata,8720
1,35,Agailzhara,Agailzhara,8240
1,35,Agailzhara,Gaila,8241
1,35,Agailzhara,Paisarhat,8242
1,35,Babuganj,Babuganj,8210
1,35,Babuganj,Barisal Cadet,8216
1,35,Babuganj,Chandpasha,8212
1,35,Babuganj,Madhabpasha,8213
1,35,Babuganj,Nizamuddin College,8215
1,35,Babuganj,Rahamatpur,8211
1,35,Babuganj,Thakur Mallik,8214
1,35,Barajalia,Barajalia,8260
1,35,Barajalia,Osman Manjil,8261
1,35,Barisal Sadar,Barisal Sadar,8200
1,35,Barisal Sadar,Bukhainagar,8201
1,35,Barisal Sadar,Jaguarhat,8206
1,35,Barisal Sadar,Kashipur,8205
1,35,Barisal Sadar,Patang,8204
1,35,Barisal Sadar,Saheberhat,8202
1,35,Barisal Sadar,Sugandia,8203
1,35,Gouranadi,Batajor,8233
1,35,Gouranadi,Gouranadi,8230
1,35,Gouranadi,Kashemabad,8232
1,35,Gouranadi,Tarki Bandar,8231
1,35,Mahendiganj,Langutia,8274
1,35,Mahendiganj,Laskarpur,8271
1,35,Mahendiganj,Mahendiganj,8270
1,35,Mahendiganj,Nalgora,8273
1,35,Mahendiganj,Ulania,8272
1,35,Muladi,Charkalekhan,8252
1,35,Muladi,Kazirchar,8251
1,35,Muladi,Muladi,8250
1,35,Sahebganj,Charamandi,8281
1,35,Sahebganj,kalaskati,8284
1,35,Sahebganj,Padri Shibpur,8282
1,35,Sahebganj,Sahebganj,8280
1,35,Sahebganj,Shialguni,8283
1,35,Uzirpur,Dakuarhat,8223
1,35,Uzirpur,Dhamura,8221
1,35,Uzirpur,Jugirkanda,8222
1,35,Uzirpur,Shikarpur,8224
1,35,Uzirpur,Uzirpur,8220
1,36,Bhola Sadar,Bhola Sadar,8300
1,36,Bhola Sadar,Joynagar,8301
1,36,Borhanuddin UPO,Borhanuddin UPO,8320
1,36,Borhanuddin UPO,Mirzakalu,8321
1,36,Charfashion,Charfashion,8340
1,36,Charfashion,Dularhat,8341
1,36,Charfashion,Keramatganj,8342
1,36,Doulatkhan,Doulatkhan,8310
1,36,Doulatkhan,Hajipur,8311
1,36,Hajirhat,Hajirhat,8360
1,36,Hatshoshiganj,Hatshoshiganj,8350
1,36,Lalmohan UPO,Daurihat,8331
1,36,Lalmohan UPO,Gazaria,8332
1,36,Lalmohan UPO,Lalmohan UPO,8330
1,37,Jhalokathi Sadar,Baukathi,8402
1,37,Jhalokathi Sadar,Gabha,8403
1,37,Jhalokathi Sadar,Jhalokathi Sadar,8400
1,37,Jhalokathi Sadar,Nabagram,8401
1,37,Jhalokathi Sadar,Shekherhat,8404
1,37,Kathalia,Amua,8431
1,37,Kathalia,Kathalia,8430
1,37,Kathalia,Niamatee,8432
1,37,Kathalia,Shoulajalia,8433
1,37,Nalchhiti,Beerkathi,8421
1,37,Nalchhiti,Nalchhiti,8420
1,37,Rajapur,Rajapur,8410
1,38,Bauphal,Bagabandar,8621
1,38,Bauphal,Bauphal,8620
1,38,Bauphal,Birpasha,8622
1,38,Bauphal,Kalaia,8624
1,38,Bauphal,Kalishari,8623
1,38,Dashmina,Dashmina,8630
1,38,Galachipa,Galachipa,8640
1,38,Galachipa,Gazipur Bandar,8641
1,38,Khepupara,Khepupara,8650
1,38,Khepupara,Mahipur,8651
1,38,Patuakhali Sadar,Dumkee,8602
1,38,Patuakhali Sadar,Moukaran,8601
1,38,Patuakhali Sadar,Patuakhali Sadar,8600
1,38,Patuakhali Sadar,Rahimabad,8603
1,38,Subidkhali,Subidkhali,8610
1,39,Banaripara,Banaripara,8530
1,39,Banaripara,Chakhar,8531
1,39,Bhandaria,Bhandaria,8550
1,39,Bhandaria,Dhaoa,8552
1,39,Bhandaria,Kanudashkathi,8551
1,39,kaukhali,Jolagati,8513
1,39,kaukhali,Joykul,8512
1,39,kaukhali,Kaukhali,8510
1,39,kaukhali,Keundia,8511
1,39,Mathbaria,Betmor Natun Hat,8565
1,39,Mathbaria,Gulishakhali,8563
1,39,Mathbaria,Halta,8562
1,39,Mathbaria,Mathbaria,8560
1,39,Mathbaria,Shilarganj,8566
